ID,Source,Title,Content,Timestamp,Ours,Voicelab,Clarin,Textclass,Ner
1855,15184,forummedyczne.edu.pl,Suchość jamy ustnej - Kserostomia,"Kserostomia - zwana potocznie suchością jamy ustnej - to zespół objawów wywołanych redukcją lub brakiem wydzielania śliny. Zmniejszona ilość śliny wpływa na spadek wyrzutu substancji stanowiących barierę ochronną dla błony śluzowej jamy ustnej. Zmiana jakości oraz ilości śliny wpływa z kolei na florę jamy ustnej, co prowadzi do wzrostu liczby mikroorganizmów odpowiedzialnych za powstanie próchnicy oraz wyraźnego wzrostu ilości kolonii szkodliwych grzybów. Przyczyny kserostomii Jedną z głównych przyczyn kserostomii jest stosowanie leków. Aż 400 dostępnych na rynku preparatów może być odpowiedzialne za powstawanie uporczywej suchości w jamie ustnej. Do grupy tej zaliczyć należy między innymi leki moczopędne, przeciwdepresyjne i przeciwlękowe, leki obniżające ciśnienie krwi, rozszerzające oskrzela, niektóre antybiotyki i wiele innych. Przyczyną kserostomii może być również nadczynności tarczycy, cukrzyca, AIDS, radioterapia okolic głowy i szyi, palenia tytoniu, stosowania całkowity protez zębowych oraz oddychania przez usta. Leczenie kserostomii Leczenie kserostomii to przede wszystkim terapia schorzenia ją wywołującego. Dodatkowo stosuje się preparaty stymulujące wydzielanie śliny lub jej substytuty tj. XEROSTOM. Ze względu na zwiększoną podatność na schorzenia zębów i błony śluzowej jamy ustnej, pacjenci z kserostomią powinni regularnie dokonywać przeglądów stomatologicznych.",10-08-2016,"suchością jamy ustnej
terapia schorzenia
radioterapia okolic głowy
stosowania całkowity protez zębowych
leki obniżające ciśnienie krwi","kserostomia
choroby jamy ustnej
leki przeciwdepresyjne i przeciwlękowe
","suchość jamy ustnej
leki moczopędne
suchości jamy ustnej","zdrowie
zagranica",AIDS
1019,15216,forummedyczne.edu.pl,Zniekształcenia palców stopy II-V,"Deformacje palców II - V stopy mogą przybierać zróżnicowane postacie w zależności od wyjściowej przyczyny zniekształcenia. Z reguły wszystkie palce od II do V posiadają identyczny charakter zniekształcenia, jednak jego stopień może być różny dla poszczególnych palców. Najczęstsze postacie to palce szponiaste, palce młotowate i palce młoteczkowate. O palcach szponiastych mówimy, gdy obserwujemy przeprostne, peryskopowe ustawienie w stawie śródstopno-paliczkowym oraz zgięciowe w stawach międzypaliczkowych bliższym i dalszym. Takie zniekształcenie pojawia się z powodu osłabienia siły mięśni krótkich stopy lub w uszkodzeniach stawów palców w przebiegu chorób pochodzenia reumatoidalnego. Osłabienie krótkich mięśni stopy ma zwykle miejsce w chorobach na podłożu neurologicznym jak chociażby w strzałkowym zaniku mięśni Charcot-Marie-Tooth. Przeważnie dochodzi do konfliktu z obuwiem grzbietowej powierzchni palca na wysokości stawu międzypaliczkowego bliższego oraz przeciążeń na powierzchni podeszwowej stopy pod głowami kości śródstopia. Deformacja młotowata to takie zniekształcenie palców, kiedy są one ustawione w utrwalonej pozycji zgięciowej w stawach międzypaliczkowych bliższych, zaś pozostałe stawy palca są wolne z zachowanym dobrym zakresem ruchu. Powstaje ona zazwyczaj z powodu błędów w pielęgnacji stóp. Chodzenie w obuwiu na wysokich obcasach oraz wąskie ich przednie części przyczyniają się do powstania tego zniekształcenia. Deformacja ta może być izolowana tylko do palca drugiego. Zniekształcenie młoteczkowate polega na utrwalonym ustawieniu zgięciowym stawu międzypaliczkowego obwodowego przy zachowanym dobrym ustawieniu stawu śródstopno-paliczkowego oraz międzypaliczkowego bliższego. Miejscem przeciążonym jest wtedy opuszka palca. Podobnie jak w palcach młotowatych przyczyną jest brak dostatecznej ochrony stóp przez używanie obuwia o wadliwym kształcie. W naszym Ośrodku dokonujemy pełnej korekty operacyjnej wszystkich postaci deformacji palców do II - V stopy. Z reguły ich zniekształcenia współistnieją z deformacjami palucha. Zabiegi korekcyjne na wszystkich palcach wykonywane są jednoczasowo. Podobnie jak inne operacje w obrębie stopy przeprowadza się w znieczuleniu dolędźwiowym a uzyskane korekcje utrwala w opatrunku Air-Cast przez 4-6 tygodni. arthros.pl",16-05-2016,"wyjściowej przyczyny zniekształcenia
stopy
palce
zniekształcenie
stawach międzypaliczkowych bliższym","deformacje palców II-V stopy
stopy
zniekształcenie","staw śródstopno-paliczkowy
zniekształcenie palców
ścięgno
stopy",zagranica,"Marie
arthros.pl"
713,15225,forummedyczne.edu.pl,"NASIC KIDS aerozol do nosa,udrożnienie jam nosowych","NASIC KIDS to aerozol do nosa, który ogranicza obrzęk i przekrwienie śluzówki nosa dzięki czemu dochodzi do udrożnienia jam nosowych. Dodatkowo działa regenerująco na błony śluzowe nosa. Skład: Xylometazolini hydrochloridum + Dexpanthenolum ( 0,05 mg + 5,0 mg)/dawkę. Działanie: Preparat charakteryzuje się złożonym składem. Dzięki substancjom czynnym powoduje obkurczenie naczyń krwionośnych nosa, a w konsekwencji ograniczenie obrzęku i przekrwienia śluzówki nosa, co działa udrażniająco na przewód nosowy. Dodatkowo wykazuje właściwości regenerujące wobec błon śluzowych nosa. Wskazania: Zaleca się stosowanie preparatu u dzieci w wieku 2-6 lat w przypadku niedrożności jam nosowych w czasie przeziębienia i po przebytej operacji. Dawkowanie: Stosować dawkę x 1-2/24h (co 8-10h). Nie podawać dzieciom poniżej 2 roku życia. Nie stosować dłużej niż tydzień.",06-11-2016,"nosa
przekrwienie śluzówki nosa
udrożnienia jam nosowych
dzieci
xylometazolini hydrochloridum","dexpanthenolum
aerozol do nosa
udrożnienie jamy nos","aerozol do nosa
nasic kids
preparat nasiC KIDS
zywnosc",zdrowie,NASIC KIDS
1943,15237,forummedyczne.edu.pl,[Film] Odwrócony uchyłek jelita czczego,"Ten film przedstawia endoskopowy widok odwróconego uchyłka jelita czczego.Chwytak służy do manipulowania uchyłkiem aby potwierdzić, ie nie jest to uszypułowana masa.",30-12-2016,"manipulowania uchyłkiem
chwytak
uszypułowana masa
film","endoskopia
uchyłek jelita czczego","uchyłek jelita czczego
uchyłek
jelito czcze
endoskop",zdrowie,
1555,15301,forummedyczne.edu.pl,[Film] Naprawa uszkodzonego ścięgna prostownika palca,Naprawa uszkodzonego ścięgna prostownika palca - palec młoteczkowaty Doktor Gregory J.Yanish przedstawia zabieg naprawy uszkodzonego ścięgna prostownika palca. Palcem młoteczkowatym nazywamy opadanie najbardziej dystalnej części palca na poziomie paliczka dystalnego w wyniku urazu. Autor przeprowadza nas przez cały zabieg i dokładnie komentuje cały proces.,16-01-2017,"dystalnej części palca
poziomie paliczka dystalnego
opadanie
wyniku urazu
palcem młoteczkowatym","palec młoteczkowaty
ścięgno prostownika palca","uszkodzenie ścięgna prostownika palca
palec młoteczkowaty
naprawa",,"doktor
Gregory J.Yanish"
1495,15307,forummedyczne.edu.pl,zaczerwienienie ujścia cewki moczowej,"Witam mam problem z zaczerwienieniem przy ujściu cewki moczowej , jakby brakowało tam tkanki. Nie daję ono żadnych objawów chorobowych (robiłem badania i wykluczyłem zapalanie cewki i grzybicę), powstało po zabiegu usunięcia wędzidełka i nie zniknęło do dzisiaj a było to już ponad 2lata temu , chciałbym się go pozbyć ze względów estetycznych , czy ktoś miałby jakiś pomysł lub wie co to może być lub jak się tego pozbyć ? z góry dziękuję zdj. imgur.com/a/AafZcy8#5CzCgTw",25-03-2021,"zapalanie cewki
zaczerwienieniem
ujściu cewki moczowej
badania
grzybicę","cewka moczowa
zaczerwienienie","zaczerwienienie
cewka moczowa
wędzidełek",,imgur.com/a/AafZcy8
104,15311,forummedyczne.edu.pl,Drżenie kończyn,"Proszę o pomoc w którym kierunku można jeszcze diagnozować, poniższy przypadek, lekarze rozkładają ręce. Pacjęt 30 l. z nasilonymi drżeniami kkg i kkd, zaburzeniami równowagi, sztywnością kkd, trudnościami w chodzeniu, zaburzeniami mowy o typie dyzartrii. Neurologicznie mowa dyzartryczna, drżenie posturalne, elem. drżenia kinetycznego w kkg i kkd, oo.gł. kkd>g bez o. patol. z gr Babińskiego, bez zaburzeń czucia Badania: Morfologia: WBC 6,98x10 do potęgi 3 (nie wiem jak to napisać) RBC 5,48x10 do pot. 6 HT 49,6% HGB 16,8g% PLT 242x10 do pot 3 Jonogram: Na 139 mmol/l K 4,40 mmol/l Biochemia: glukoza 83 mg%, mocznik 30 mg%, kreatynina 1,04 mg%, AspAT 19 U/l AlAT 17 U/l CPK 72 U/l CKMB 12 U/l TnThs 8,0 ng/l CRP 0,68 mg/l białko całk. 6,60 mg/l Immunochemia: TSH 0,301 ulU/ml FT4 0,86 ng/ml kwas foliowy 4,22 ng/ml (n: 3,10-19,90) wit B12 118 pg/ml (n: 180-914) HIV nie wykryto p/ciał lub antygenu testem HIV Combo Abbott RPR Carbon test aglutynacji reagin kiłowych - ujemny P/ciała w kierunku Boreliozy IgG <5,000 AU/ml (wynik ujemny) IgM 5,40 AU/ml (wynik ujemny) Poziom miedzi w surowicy 62,3 ug/dl (n: 70-140) Poziom ceruloplazminy w surowicy 15,15 mg/dl (n: 20,00-60,00) Konsultacja psychologiczna: Na podstawie rozmowy z pacjentem, obserwacji i wykonanych testów nie stwierdzam u pacjenta reakcji konwersyjnych ani zaburzeń czynnościowych. Koagulologia: czas PT 10,7 sek, wsk. PT 112% INR 0,9 APTT 26,8 s, TT-19,2 s Lipidogram Chol. całk. 137 mg/dl, LDL 82 mg/dl, HDL 39 mg/dl TG 80 mg/dl Badanie MR głowy: Prawidłowy obraz MR głowy. Układ komorowy nieposzerzony, nieprzemieszczony, asymetria komór bocznych - prawa szersza. Zatoki oboczne nosa oraz piramidy obu kości skroniowych prawidłowo powietrzne. Badanie MR kręgosłupa szyjnego: pogłębienie fizjologicznej lordozy w górnym odcinku kręgosłupa. Redukcja płynowej rezerwy przedrdzeniowej oraz zwężenie kanału kręgowego (w wymiarze strzałkowym do 9 mm) na szczycie lordozy. Drobne spondylofity na tylnej krawędzi trzonu C3. Brak skostnienia listwy brzeżnej C4. Poza tym obraz trzonów i krążków międzykręgowych prawidłowy. Rdzeń kręgowy w odcinku objętym badaniem bez cech patologii. Obecności obszarów nieprawidłowego wzmocnienia po podaniu kontrastu nie wykazano. W dolnej części prawego płata tarczycy torbielowaty guzek ok 12 mm. Badanie MR kręgosłupa piersiowego:Niewielka tylna wypuklina tarczy",08-03-2016,"badanie mr głowy
zaburzeniami równowagi
kkd
poziom miedzi
pot","aglutynacja reagin kiłowych
drżenie kinetyczne
zaburzenia mowy","aglutynacja reagin kiłowych
aglutynacja reagina kiłowa
czucie
p/","zdrowie
zagranica","WBC
RBC
HT
PLT
AspAT
AlAT
CPK
CKMB
HIV
HIV Combo Abbott RPR"
1956,15323,forummedyczne.edu.pl,Amalgamatowe plomby,"Witam, Na zdjeciu przedstawiam zeby z widocznymi amalgamatowymi plombami. Co mozna zrobic z tymi zebami, plombami zeby ""dobrze"" wyglądaly? I zeby to tez bylo na dluzej? Czy ostatnie zeby powinno sie wyrywac?",28-03-2017,"widocznymi amalgamatowymi plombami
zebami
wyglądaly
zdjeciu
dluzej","amalgamatowe plomby
zeb","amalgamatowe plomby
zeb
plomba
amalgmatowe zeby",,
107,15339,forummedyczne.edu.pl,Niwolumab w leczeniu chłoniaka Hodgkina,"Komisja Europejska zarejestrowała niwolumab w leczeniu chłoniaka Hodgkina Komisja Europejska zarejestrowała niwolumab w leczeniu dorosłych pacjentów z nawrotowym lub opornym na leczenie chłoniakiem Hodgkina po autologicznym przeszczepie komórek macierzystych oraz po leczeniu preparatem brentuksymab vedotin. Niwolumab jest obecnie pierwszym inhibitorem punktu kontrolnego PD-1 stosowanym w nowotworach hematologicznych zarejestrowanym w Unii Europejskiej (UE). Rejestracja ta pozwala na leczenie niwolumabem pacjentów z nawrotowym lub opornym na leczenie chłoniakiem Hodgkina we wszystkich 28 krajach członkowskich UE. Rejestracji dokonano na podstawie łącznej analizy danych pochodzących z badania klinicznego fazy 2 CheckMate -205 oraz badania klinicznego fazy 1 CheckMate -039, które obejmowały pacjentów z nawrotowym lub opornym na leczenie chłoniakiem Hodgkina po autologicznym przeszczepie komórek macierzystych oraz po leczeniu preparatem brentuksymab vedotin. W populacji pacjentów, w której oceniana była skuteczność (n=95), pierwszorzędowy punkt końcowy, jakim był obiektywny odsetek odpowiedzi na leczenie (ORR) oceniony przez niezależny komitet oceny radiologicznej, wyniósł 66% (95% CI: 56-76; 63/95 pacjentów). Odsetek pacjentów z całkowitą odpowiedzią na leczenie wyniósł 6% (95% CI: 2-13; 6/95 pacjentów), natomiast odsetek pacjentów z odpowiedzią częściową wyniósł 60% (95% CI: 49-70; 57/95 pacjentów). Po 12 miesiącach obserwacji współczynnik przeżyć wolnych od progresji wyniósł 57% (95% CI: 45-68). Stosowanie niwolumabu wiąże się z następującymi ostrzeżeniami, związanymi również z odpowiedzią układu immunologicznego: zapalenie płuc, zapalenie jelita grubego, zapalenie wątroby, zapalenie nerek oraz dysfunkcja nerek, endokrynopatie, wysypka oraz inne reakcje niepożądane; reakcje na wlew dożylny oraz komplikacje związane z allogenicznym przeszczepem komórek macierzystych u pacjentów z chłoniakiem Hodgkina po leczeniu niwolumabem. Emmanuel Blin, wiceprezes oraz dyrektor strategiczny w firmie Bristol-Myers Squibb, komentuje - Jesteśmy niezwykle dumni z rejestracji niwolumabu w tym wskazaniu oraz z tego, co ta rejestracja oznacza dla pacjentów z nawrotowym lub opornym na leczenie chłoniakiem Hodgkina po autologicznym przeszczepie komórek macierzystych oraz po leczeniu preparatem brentuksymab vedotin, szczególnie że jest to pierwszy inhibitor punktu kontrolnego PD-1 stosowany w nowotworach hematologicznych zarejestrowany w Unii Europejskiej. Jest to również drugi lek immunoonkologiczny firmy Bristol-Myers Squibb, który został zarejestrowany w leczeniu nowotworów krwi w UE w ciągu zaledwie sześciu miesięcy. -Jako praktykujący hematolog, musiałem podejmować wyzwania związane z leczeniem klasycznego chłoniaka Hodgkina oraz potrzebami pacjentów już wcześniej leczonych -",09-12-2016,"leczeniu dorosłych pacjentów
leczenie chłoniakiem hodgkina
nawrotowym
opornym
autologicznym przeszczepie komórek macierzystych","brentuksymab vedotin
nawrotowy lub oporny na","chłoniak Hodgkina
niwolumab
autologiczne przeszczepy komórek macierzystych","gospodarka
ekonomia
zdrowie
zagranica","Hodgkina
UE
Komisja Europejska
niwolumab
vedotin
Unia Europejska
Bristol-Myers Squibb
Niwolumab
Emmanuel Blin
południe"
1844,15341,forummedyczne.edu.pl,Przygotowanie do badania Tomografia komputerowa jamy brzusznej,"Tomografia komputerowa jamy brzusznej - przygotowanie do badania Na badanie należy zgłosić się ze skierowaniem od lekarza. Niezbędne badania dodatkowe • Ustala lekarz prowadzący. • Badanie kreatyniny (lub GFR - współczynnik przesączania kłębkowego) jest wymagane przed wszystkimi badaniami techniką rezonansu magnetycznego, jak i tomografii komputerowej z podaniem kontrastu. Za aktualne uznajemy: badanie kreatyniny wykonane w okresie 2 lat poprzedzających MR/CT u osób bez dowodów/przesłanek wskazujących na zaburzenia czynności nerek i wykonane w okresie 3 miesięcy poprzedzających MR/CT u osób z dowodami/przesłankami wskazującymi na zaburzenia czynności nerek. Sposób przygotowania do badania • Można zjeść lekki posiłek - najpóźniej 3 godziny przed badaniem. • Pacjenci przed badaniem powinni być odpowiednio nawodnieni (woda niegazowana, płyny obojętne). Leki • Jeżeli osoba badana przyjmuje leki na stałe, to w dniu badania powinna przyjąć je normalnie. • Pacjenci leczeni preparatami Metforminy powinni zaprzestać jej przyjmowania na 48 godziny przed i na 24 godzin po badaniu. Niezbędne informacje przekazywane lekarzowi • Pacjent powinien dostarczyć dokumentację wcześniej wykonanych badań obrazowych i karty informacyjne ze szpitala. • Poinformuj lekarza o uczuleniu na środki kontrastowe, alergii i schorzeniach nerek (zwłaszcza chorzy z klirensem kreatyniny (GFR) poniżej 30 ml/min). • Poinformuj biały personel (lekarz, pielęgniarka, technik) o ciąży. Badanie • Przed badaniem pacjent może być poproszony o zdjęcie biżuterii, okularów, aparatu słuchowego zewnętrznego - jeżeli znajdują się w okolicy zakresu badania. • W niektórych badaniach jamy brzusznej lub miednicy mniejszej pacjent może zostać poproszony o wypicie wody lub wodnego roztworu kontrastu na pół godziny przed badaniem. Również w niektórych przypadkach wykonuje się wlew doodbytniczy wody lub wodnego roztworu kontrastu. • Może zaistnieć potrzeba podania kontrastu dożylnie. O podaniu kontrastu dożylnego decyduje lekarz radiolog kierując się wskazaniami lekarza prowadzącego oraz stanem pacjenta. Koszt kontrastu może wynieść od 120 zł do 220 zł, w zależności od wynikającego ze wskazań medycznych rodzaju kontrastu i ilości jaka zostanie wykorzystana. Podczas badania poinformuj o • Nagłych dolegliwościach. Przeciwwskazania • Bezwzględnym przeciwwskazaniem do wykonania badania jest pierwszy trymestr ciąży. Drugi i trzeci trymestr są przeciwwskazaniem względnym - w zależności od wskazań medycznych. W razie wątpliwości pacjentka powinna we własnym zakresie wykonać test ciążowy.",24-01-2016,"badania
badaniem
lekarza
godziny
lekarz prowadzący","badania diagnostyczne
tomografia komputerowa jamy brzusznej
badanie kreatyniny","badanie kreatyniny
tomografia komputerowa jamy brzusznej","zdrowie
zagranica","złoty
Metforminy"
